scheme_id,scheme_name,scheme_name_hindi,type,launch_year,benefit,benefit_hindi,eligibility,eligibility_hindi,description_english,description_hindi,documents_required,apply_link
86,Chhattisgarh Farmer Training & Development Scheme,छत्तीसगढ़ किसान प्रशिक्षण और विकास योजना,State (Chhattisgarh),2020,Free training programs on modern farming techniques,आधुनिक कृषि तकनीकों पर नि:शुल्क प्रशिक्षण कार्यक्रम,All registered farmers in Chhattisgarh,छत्तीसगढ़ के सभी पंजीकृत किसान,"This scheme offers farmers training in new agricultural technologies, pest management, crop diversification, and sustainable practices. The goal is to increase productivity, reduce input costs, and promote environmentally friendly farming.","यह योजना किसानों को नई कृषि तकनीकों, कीट प्रबंधन, फसल विविधीकरण और सतत प्रथाओं पर प्रशिक्षण प्रदान करती है। इसका उद्देश्य उत्पादकता बढ़ाना, इनपुट लागत कम करना और पर्यावरण के अनुकूल खेती को बढ़ावा देना है।",Aadhaar Card|Land documents|Farmer registration certificate,https://cgfarmertraining.cg.gov.in
87,Chhattisgarh Organic Farming Promotion Scheme,छत्तीसगढ़ जैविक कृषि प्रोत्साहन योजना,State (Chhattisgarh),2023,Subsidies and training for organic farming practices,जैविक कृषि प्रथाओं के लिए सब्सिडी और प्रशिक्षण,Farmers interested in organic farming registered with local agricultural offices,स्थानीय कृषि कार्यालयों में पंजीकृत जैविक कृषि में रुचि रखने वाले किसान,The scheme encourages farmers to adopt organic farming by providing subsidies on organic inputs and training on organic methods to improve soil health and produce quality.,यह योजना किसानों को जैविक कृषि अपनाने के लिए जैविक इनपुट पर सब्सिडी और जैविक विधियों पर प्रशिक्षण प्रदान करके मिट्टी की सेहत और उत्पाद की गुणवत्ता सुधारने के लिए प्रोत्साहित करती है।,Aadhaar Card|Land ownership documents|Farmer registration certificate,https://cgorganicfarming.cg.gov.in
88,Chhattisgarh Irrigation Development Scheme,छत्तीसगढ़ सिंचाई विकास योजना,State (Chhattisgarh),2022,Financial assistance for irrigation infrastructure and drip irrigation systems,सिंचाई संरचना और ड्रिप सिंचाई प्रणाली के लिए वित्तीय सहायता,All farmers owning land in Chhattisgarh,छत्तीसगढ़ में भूमि मालिक सभी किसान,"This scheme supports farmers by subsidizing the installation of irrigation systems including drip and sprinkler irrigation, improving water efficiency and crop yields.",यह योजना किसानों को ड्रिप और स्प्रिंकलर सिंचाई जैसी सिंचाई प्रणालियों की स्थापना पर सब्सिडी देकर जल दक्षता और फसल उपज बढ़ाने में सहायता करती है।,Aadhaar Card|Land documents|Irrigation system installation proposal,https://cgirrigation.cg.gov.in
89,Chhattisgarh Seed Quality Improvement Scheme,छत्तीसगढ़ बीज गुणवत्ता सुधार योजना,State (Chhattisgarh),2024,Subsidy on certified seeds and quality improvement programs,प्रमाणित बीजों पर सब्सिडी और गुणवत्ता सुधार कार्यक्रम,Farmers purchasing certified seeds from authorized dealers,अधिकृत विक्रेताओं से प्रमाणित बीज खरीदने वाले किसान,"The scheme provides financial incentives for farmers to use high-quality certified seeds, thereby increasing crop productivity and resistance to pests and diseases.","यह योजना किसानों को उच्च गुणवत्ता वाले प्रमाणित बीज उपयोग करने के लिए वित्तीय प्रोत्साहन प्रदान करती है, जिससे फसल की उत्पादकता और कीट व रोग प्रतिरोधक क्षमता बढ़ती है।",Aadhaar Card|Seed purchase receipts|Farmer registration certificate,https://cgseedquality.cg.gov.in
90,Chhattisgarh Farm Mechanization Subsidy Scheme,छत्तीसगढ़ कृषि यंत्रीकरण सब्सिडी योजना,State (Chhattisgarh),2023,"Subsidies for purchasing farm machinery like tractors, harvesters, and pumps","ट्रैक्टर, हार्वेस्टर, और पंप जैसे कृषि मशीनरी खरीद पर सब्सिडी",Small and marginal farmers owning less than 5 acres,5 एकड़ से कम भूमि वाले लघु और सीमांत किसान,"This scheme aims to modernize agriculture by helping farmers acquire farm machinery through subsidies, enhancing productivity and reducing manual labor.","यह योजना किसानों को सब्सिडी के माध्यम से कृषि मशीनरी प्राप्त करने में सहायता करके कृषि को आधुनिक बनाने, उत्पादकता बढ़ाने और श्रम कम करने का लक्ष्य रखती है।",Aadhaar Card|Land ownership documents|Income certificate,https://cgfarmmechanization.cg.gov.in
91,Chhattisgarh Crop Insurance Scheme,छत्तीसगढ़ फसल बीमा योजना,State (Chhattisgarh),2021,Affordable crop insurance coverage against natural calamities and pests,प्राकृतिक आपदाओं और कीटों के खिलाफ किफायती फसल बीमा कवरेज,All registered farmers in Chhattisgarh,छत्तीसगढ़ के सभी पंजीकृत किसान,"The scheme provides financial protection to farmers by covering crop losses due to drought, flood, pests, and other natural disasters.","यह योजना सूखा, बाढ़, कीट और अन्य प्राकृतिक आपदाओं से होने वाली फसल क्षति को कवर करके किसानों को वित्तीय सुरक्षा प्रदान करती है।",Aadhaar Card|Land documents|Crop registration certificate,https://cgcropinsurance.cg.gov.in
92,Chhattisgarh Agricultural Credit Support Scheme,छत्तीसगढ़ कृषि क्रेडिट सहायता योजना,State (Chhattisgarh),2020,Low-interest loans and credit facilities for farmers,किसानों के लिए कम ब्याज दर पर ऋण और क्रेडिट सुविधाएं,Farmers with valid land ownership and agricultural activity,वैध भूमि मालिकाना हक और कृषि गतिविधि वाले किसान,"This scheme facilitates easy access to affordable credit for purchasing inputs, equipment, and other agricultural needs, improving cash flow for farmers.","यह योजना किसानों को इनपुट, उपकरण और अन्य कृषि आवश्यकताओं की खरीद के लिए किफायती क्रेडिट तक आसान पहुँच प्रदान करती है, जिससे नकदी प्रवाह में सुधार होता है।",Aadhaar Card|Land ownership documents|Bank account details,https://cgcredit.cg.gov.in
93,Chhattisgarh Rural Farmer Market Access Scheme,छत्तीसगढ़ ग्रामीण किसान बाजार पहुँच योजना,State (Chhattisgarh),2022,Support for farmers to access local and regional markets,किसानों को स्थानीय और क्षेत्रीय बाजारों तक पहुँच के लिए सहायता,Registered farmers and farmer groups,पंजीकृत किसान और किसान समूह,"The scheme assists farmers in marketing their produce by providing market information, transport subsidies, and support to form cooperatives for better bargaining power.","यह योजना किसानों को बाजार सूचना, परिवहन सब्सिडी और बेहतर सौदेबाजी के लिए सहकारी समितियाँ बनाने में सहायता प्रदान करके उनके उत्पादों के विपणन में सहायता करती है।",Aadhaar Card|Farmer group registration|Proof of produce,https://cgruralmarket.cg.gov.in
94,Chhattisgarh Agroforestry Development Scheme,छत्तीसगढ़ कृषि वनीकरण विकास योजना,State (Chhattisgarh),2023,Financial aid and saplings for agroforestry on farm lands,कृषि भूमि पर कृषि वनीकरण के लिए वित्तीय सहायता और पौधे,Farmers owning agricultural land willing to adopt agroforestry,कृषि भूमि मालिक किसान जो कृषि वनीकरण अपनाने के इच्छुक हों,"This scheme promotes agroforestry to increase farm income, improve biodiversity, and enhance soil fertility by providing saplings and financial support.","यह योजना पौधे और वित्तीय सहायता प्रदान करके कृषि वनीकरण को बढ़ावा देती है ताकि किसान की आय बढ़े, जैव विविधता में सुधार हो और मिट्टी की उर्वरता बढ़े।",Aadhaar Card|Land ownership documents|Farmer registration certificate,https://cgagroforestry.cg.gov.in
95,Chhattisgarh Post-Harvest Management Scheme,छत्तीसगढ़ कटाई के बाद प्रबंधन योजना,State (Chhattisgarh),2024,"Subsidies for storage, cold storage, and transportation facilities","भंडारण, ठंडा भंडारण और परिवहन सुविधाओं के लिए सब्सिडी",Farmers and farmer cooperatives involved in post-harvest activities,कटाई के बाद की गतिविधियों में शामिल किसान और किसान सहकारी समितियाँ,"The scheme reduces post-harvest losses by supporting construction of warehouses, cold storages, and transportation infrastructure to preserve agricultural produce.","यह योजना कृषि उत्पादों के संरक्षण के लिए गोदाम, ठंडा भंडारण और परिवहन संरचनाओं के निर्माण का समर्थन करके कटाई के बाद के नुकसान को कम करती है।",Aadhaar Card|Farmer cooperative registration|Project proposal,https://cgpostharvest.cg.gov.in
96,Chhattisgarh Agricultural Extension Services Scheme,छत्तीसगढ़ कृषि विस्तार सेवा योजना,State (Chhattisgarh),2020,Free expert advisory and extension services for farmers,किसानों के लिए नि:शुल्क विशेषज्ञ सलाह और विस्तार सेवाएं,All farmers registered with agriculture department,कृषि विभाग में पंजीकृत सभी किसान,"The scheme provides farmers with access to expert guidance, soil testing, pest control advice, and updated agricultural practices to increase productivity.","यह योजना किसानों को विशेषज्ञ मार्गदर्शन, मिट्टी परीक्षण, कीट नियंत्रण सलाह और नवीनतम कृषि प्रथाओं तक पहुँच प्रदान करती है ताकि उत्पादकता बढ़े।",Aadhaar Card|Farmer registration certificate,https://cgextension.cg.gov.in
97,Chandigarh Agricultural Subsidy Scheme,चंडीगढ़ कृषि सब्सिडी योजना,State (Chandigarh),2018,"Subsidies on seeds, fertilizers, and farm equipment","बीज, उर्वरक और कृषि उपकरणों पर सब्सिडी",All registered farmers of Chandigarh,चंडीगढ़ के सभी पंजीकृत किसान,"This scheme offers financial support to farmers by providing subsidies on seeds, fertilizers, and agricultural tools. It aims to reduce the cost of farming and boost crop productivity. Farmers can avail assistance to purchase quality inputs at lower prices.","यह योजना किसानों को बीज, उर्वरक और कृषि उपकरणों पर सब्सिडी देकर वित्तीय सहायता प्रदान करती है। इसका उद्देश्य खेती की लागत को कम करना और फसल उत्पादकता बढ़ाना है। किसान कम कीमत पर गुणवत्ता वाले इनपुट खरीदने में सहायता प्राप्त कर सकते हैं।",Aadhaar Card|Farmer ID|Land ownership documents,https://chandigarhagriculture.gov.in/subsidy
98,Chandigarh Water Conservation Scheme,चंडीगढ़ जल संरक्षण योजना,State (Chandigarh),2019,Financial aid for water-saving irrigation systems,जल संरक्षण सिंचाई प्रणालियों के लिए वित्तीय सहायता,Farmers practicing irrigation in Chandigarh,चंडीगढ़ में सिंचाई करने वाले किसान,"Designed to promote sustainable water usage, this scheme provides subsidies and technical support for installing water-saving irrigation systems like drip and sprinkler irrigation. It helps farmers conserve water and increase irrigation efficiency.",स्थायी जल उपयोग को बढ़ावा देने के लिए यह योजना ड्रिप और स्प्रिंकलर सिंचाई जैसे जल-संरक्षण सिंचाई प्रणालियों की स्थापना के लिए सब्सिडी और तकनीकी सहायता प्रदान करती है। यह किसानों को जल संरक्षण और सिंचाई दक्षता बढ़ाने में मदद करती है।,Aadhaar Card|Irrigation proof|Land records,https://chandigarhagriculture.gov.in/waterconservation
99,Chandigarh Farm Equipment Modernization Scheme,चंडीगढ़ कृषि उपकरण आधुनिकीकरण योजना,State (Chandigarh),2020,Subsidy for purchasing modern farm machinery,आधुनिक कृषि मशीनरी खरीदने के लिए सब्सिडी,Farmers owning agricultural land in Chandigarh,चंडीगढ़ में कृषि भूमि के मालिक किसान,"This scheme encourages farmers to adopt modern agricultural machinery by providing subsidies. It helps increase farming efficiency and reduce manual labor, thus improving overall productivity and income.","यह योजना किसानों को सब्सिडी प्रदान करके आधुनिक कृषि मशीनरी अपनाने के लिए प्रोत्साहित करती है। यह खेती की दक्षता बढ़ाने और श्रम की लागत कम करने में मदद करती है, जिससे समग्र उत्पादकता और आय बढ़ती है।",Aadhaar Card|Land ownership proof|Purchase invoice,https://chandigarhagriculture.gov.in/equipmentmodernization
100,Chandigarh Organic Farming Promotion Scheme,चंडीगढ़ जैविक खेती प्रोत्साहन योजना,State (Chandigarh),2017,Financial assistance for organic farming inputs,जैविक खेती के इनपुट के लिए वित्तीय सहायता,Farmers engaged in or switching to organic farming,जैविक खेती में लगे या जैविक खेती में परिवर्तन करने वाले किसान,"This scheme promotes organic farming by offering financial aid to farmers for purchasing organic seeds, bio-fertilizers, and pesticides. It aims to encourage sustainable agriculture practices and improve soil health over time.","यह योजना किसानों को जैविक बीज, जैव उर्वरक और कीटनाशकों की खरीद के लिए वित्तीय सहायता प्रदान करके जैविक खेती को प्रोत्साहित करती है। इसका उद्देश्य सतत कृषि प्रथाओं को बढ़ावा देना और समय के साथ मिट्टी के स्वास्थ्य में सुधार करना है।",Aadhaar Card|Organic farming certificate (if any)|Land ownership documents,https://chandigarhagriculture.gov.in/organicfarming
101,Chandigarh Farmer Health Insurance Scheme,चंडीगढ़ किसान स्वास्थ्य बीमा योजना,State (Chandigarh),2021,Health insurance coverage for farmers and family,किसानों और परिवार के लिए स्वास्थ्य बीमा सुरक्षा,Farmers residing in Chandigarh,चंडीगढ़ में रहने वाले किसान,"This scheme offers comprehensive health insurance coverage to farmers and their families, providing financial protection against medical emergencies. It aims to reduce the financial burden due to health-related expenses and promote farmer well-being.","यह योजना किसानों और उनके परिवारों को व्यापक स्वास्थ्य बीमा सुरक्षा प्रदान करती है, जिससे चिकित्सा आपातकालों में वित्तीय सुरक्षा मिलती है। इसका उद्देश्य स्वास्थ्य संबंधी खर्चों के वित्तीय बोझ को कम करना और किसानों की भलाई को बढ़ावा देना है।",Aadhaar Card|Farmer ID|Residence proof,https://chandigarhagriculture.gov.in/healthinsurance
102,Chandigarh Soil Health Card Scheme,चंडीगढ़ मिट्टी स्वास्थ्य कार्ड योजना,State (Chandigarh),2016,Free soil testing and soil health reports,मुफ्त मिट्टी परीक्षण और मिट्टी स्वास्थ्य रिपोर्ट,All farmers with land holdings in Chandigarh,चंडीगढ़ में भूमि धारकों वाले सभी किसान,This initiative provides free soil testing services and issues soil health cards to farmers. The card contains recommendations on fertilizer use and crop choices to improve soil fertility and maximize yield.,"यह पहल किसानों को मुफ्त मिट्टी परीक्षण सेवाएं प्रदान करती है और मिट्टी स्वास्थ्य कार्ड जारी करती है। कार्ड में उर्वरक उपयोग और फसल चयन के लिए सिफारिशें होती हैं, जिससे मिट्टी की उपजाऊ शक्ति बढ़ती है और उत्पादन अधिकतम होता है।",Aadhaar Card|Land records|Farmer ID,https://chandigarhagriculture.gov.in/soilhealthcard
103,Chandigarh Crop Loan Subsidy Scheme,चंडीगढ़ फसल ऋण सब्सिडी योजना,State (Chandigarh),2019,Interest subsidy on crop loans for farmers,किसानों के लिए फसल ऋण पर ब्याज सब्सिडी,Farmers availing crop loans from banks in Chandigarh,चंडीगढ़ में बैंकों से फसल ऋण लेने वाले किसान,This scheme provides an interest subsidy on short-term crop loans to ease the financial burden on farmers. It helps reduce the cost of borrowing and supports timely crop production activities.,यह योजना किसानों पर वित्तीय बोझ कम करने के लिए अल्पकालिक फसल ऋण पर ब्याज सब्सिडी प्रदान करती है। यह उधार लेने की लागत को कम करने में मदद करती है और समय पर फसल उत्पादन गतिविधियों का समर्थन करती है।,Aadhaar Card|Loan sanction letter|Land ownership proof,https://chandigarhagriculture.gov.in/croploansubsidy
104,Chandigarh Farmer Training and Awareness Scheme,चंडीगढ़ किसान प्रशिक्षण और जागरूकता योजना,State (Chandigarh),2017,Free training sessions and workshops for farmers,किसानों के लिए मुफ्त प्रशिक्षण सत्र और कार्यशालाएं,All farmers of Chandigarh,चंडीगढ़ के सभी किसान,"This scheme organizes regular training programs and workshops to educate farmers on modern agricultural practices, pest management, and sustainable farming techniques. It empowers farmers to increase productivity and adopt new technologies.","यह योजना किसानों को आधुनिक कृषि प्रथाओं, कीट प्रबंधन और सतत खेती तकनीकों पर शिक्षित करने के लिए नियमित प्रशिक्षण कार्यक्रम और कार्यशालाएं आयोजित करती है। यह किसानों को उत्पादकता बढ़ाने और नई तकनीकों को अपनाने के लिए सशक्त बनाती है।",Aadhaar Card|Farmer ID,https://chandigarhagriculture.gov.in/training
105,Chandigarh Horticulture Development Scheme,चंडीगढ़ बागवानी विकास योजना,State (Chandigarh),2018,"Subsidies on fruit plants, tools, and technology","फल पौधों, उपकरणों और तकनीक पर सब्सिडी",Farmers interested in horticulture in Chandigarh,चंडीगढ़ में बागवानी में रुचि रखने वाले किसान,"Aimed at promoting horticulture, this scheme offers financial support and subsidies for purchasing fruit plants, tools, and modern technology. It helps farmers diversify their income sources and improve farm sustainability.","बागवानी को बढ़ावा देने के लिए यह योजना फल पौधों, उपकरणों और आधुनिक तकनीक की खरीद के लिए वित्तीय सहायता और सब्सिडी प्रदान करती है। यह किसानों को उनकी आय के स्रोत विविधतापूर्ण बनाने और खेत की स्थिरता बढ़ाने में मदद करती है।",Aadhaar Card|Land ownership proof|Farmer ID,https://chandigarhagriculture.gov.in/horticulture
106,Chandigarh Agricultural Market Support Scheme,चंडीगढ़ कृषि बाजार समर्थन योजना,State (Chandigarh),2020,Marketing assistance and minimum support price guarantees,बाजार सहायता और न्यूनतम समर्थन मूल्य की गारंटी,All farmers selling produce in Chandigarh markets,चंडीगढ़ के बाजारों में अपनी उपज बेचने वाले सभी किसान,This scheme provides marketing support to farmers by ensuring minimum support prices for crops and facilitating easier access to market infrastructure. It helps farmers get fair prices and reduces exploitation by middlemen.,यह योजना फसलों के लिए न्यूनतम समर्थन मूल्य सुनिश्चित करके और बाजार की सुविधाओं तक आसान पहुंच प्रदान करके किसानों को बाजार सहायता प्रदान करती है। यह किसानों को उचित मूल्य दिलाने और दलालों द्वारा शोषण को कम करने में मदद करती है।,Aadhaar Card|Sale receipts|Farmer ID,https://chandigarhagriculture.gov.in/marketsupport
107,Chandigarh Crop Protection Scheme,चंडीगढ़ फसल संरक्षण योजना,State (Chandigarh),2017,Compensation for crop damage due to hailstorms and frost,ओले और ठंड से फसल नुकसान के लिए मुआवजा,All registered farmers in Chandigarh cultivating insured crops,चंडीगढ़ में बीमित फसलें उगाने वाले सभी पंजीकृत किसान,"This scheme offers financial compensation to farmers suffering losses caused by hailstorms and frost, common in Chandigarh's climate. It ensures timely assistance to support farmers in replanting and recovery.","यह योजना ओले और ठंड के कारण हुए नुकसान से प्रभावित किसानों को वित्तीय मुआवजा प्रदान करती है, जो चंडीगढ़ की जलवायु में आम है। यह किसानों को पुन: रोपण और पुनर्प्राप्ति में सहायता करती है।",Aadhaar Card|Crop details|Land ownership certificate,https://chandigarh.gov.in/cropprotection
108,Chandigarh Farmer Welfare Insurance,चंडीगढ़ किसान कल्याण बीमा,State (Chandigarh),2018,Coverage for crop loss due to pests and diseases with additional subsidy on premium,"कीट और रोगों के कारण फसल नुकसान के लिए कवरेज, प्रीमियम पर अतिरिक्त सब्सिडी के साथ","Farmers cultivating vegetables, fruits, and cereals in Chandigarh","चंडीगढ़ में सब्ज़ियां, फल और अनाज उगाने वाले किसान",The scheme provides comprehensive insurance coverage for crop losses due to pests and diseases. It also offers an additional subsidy on the insurance premium to encourage farmer participation.,"यह योजना कीट और रोगों के कारण फसल नुकसान के लिए व्यापक बीमा कवरेज प्रदान करती है। साथ ही, किसान भागीदारी को बढ़ावा देने के लिए प्रीमियम पर अतिरिक्त सब्सिडी भी देती है।",Aadhaar Card|Farmers ID|Crop details,https://chandigarh.gov.in/farmerwelfare
109,Chandigarh Climate Resilient Crop Scheme,चंडीगढ़ जलवायु लचीला फसल योजना,State (Chandigarh),2020,Financial aid for crops affected by erratic weather and climate change,अनियमित मौसम और जलवायु परिवर्तन से प्रभावित फसलों के लिए वित्तीय सहायता,Farmers using sustainable and climate-resilient farming methods,टिकाऊ और जलवायु-लचीला कृषि विधियों का उपयोग करने वाले किसान,This scheme supports farmers adopting climate-resilient farming techniques by providing insurance coverage against losses from erratic weather patterns. It aims to promote sustainable agriculture and reduce financial risks.,यह योजना अनियमित मौसम पैटर्न से होने वाले नुकसान के खिलाफ बीमा कवरेज प्रदान करके जलवायु-लचीला कृषि तकनीक अपनाने वाले किसानों का समर्थन करती है। इसका उद्देश्य टिकाऊ कृषि को बढ़ावा देना और वित्तीय जोखिम कम करना है।,Aadhaar Card|Certification of farming method|Land records,https://chandigarh.gov.in/climateresilient
110,Chandigarh Horticulture Crop Insurance,चंडीगढ़ बागवानी फसल बीमा,State (Chandigarh),2016,Insurance coverage and quick claim settlement for fruit and vegetable crops,फल और सब्ज़ी फसलों के लिए बीमा कवरेज और शीघ्र दावा निपटान,Farmers engaged in horticulture activities in Chandigarh,चंडीगढ़ में बागवानी कार्यों में लगे किसान,"Designed specifically for horticulture crops, this scheme provides financial protection against crop failure due to natural hazards and facilitates fast claim settlements to minimize farmer distress.","यह योजना विशेष रूप से बागवानी फसलों के लिए डिज़ाइन की गई है, जो प्राकृतिक आपदाओं के कारण फसल नुकसान से वित्तीय सुरक्षा प्रदान करती है और किसान के कष्ट को कम करने के लिए शीघ्र दावा निपटान करती है।",Aadhaar Card|Horticulture license|Crop details,https://chandigarh.gov.in/horticultureinsurance
111,Chandigarh Organic Farming Insurance,चंडीगढ़ जैविक खेती बीमा,State (Chandigarh),2019,Coverage for crop losses in organic farms with extra incentives,जैविक फार्मों में फसल नुकसान के लिए कवरेज और अतिरिक्त प्रोत्साहन,Certified organic farmers in Chandigarh,चंडीगढ़ में प्रमाणित जैविक किसान,This scheme encourages organic farming by providing insurance coverage for crop losses in organic farms and offering extra incentives such as premium subsidies and training programs.,"यह योजना जैविक खेती को बढ़ावा देती है, जैविक फार्मों में फसल नुकसान के लिए बीमा कवरेज प्रदान करती है और प्रीमियम सब्सिडी तथा प्रशिक्षण कार्यक्रम जैसे अतिरिक्त प्रोत्साहन देती है।",Aadhaar Card|Organic certification|Land ownership proof,https://chandigarh.gov.in/organicinsurance
112,Chandigarh Rainfed Crop Insurance,चंडीगढ़ वर्षा-आश्रित फसल बीमा,State (Chandigarh),2014,Insurance for crops dependent on rainfall with drought risk coverage,वर्षा पर निर्भर फसलों के लिए बीमा और सूखा जोखिम कवरेज,Farmers cultivating rainfed crops in Chandigarh region,चंडीगढ़ क्षेत्र में वर्षा-आश्रित फसल उगाने वाले किसान,"The scheme protects farmers growing rainfed crops by covering losses caused by inadequate rainfall and drought, thus stabilizing their income in adverse weather conditions.","यह योजना वर्षा-आश्रित फसलें उगाने वाले किसानों को अपर्याप्त वर्षा और सूखे से हुए नुकसान से बचाती है, जिससे प्रतिकूल मौसम में उनकी आय स्थिर रहती है।",Aadhaar Card|Rainfed crop certificate|Land records,https://chandigarh.gov.in/rainfedinsurance
113,Chandigarh Post-Harvest Loss Insurance,चंडीगढ़ फसल कटाई के बाद नुकसान बीमा,State (Chandigarh),2021,Compensation for losses during storage and transportation of crops,फसल भंडारण और परिवहन के दौरान हुए नुकसान के लिए मुआवजा,Farmers and cooperatives involved in post-harvest management,फसल कटाई के बाद प्रबंधन में लगे किसान और सहकारी समितियां,"This innovative scheme covers losses occurring after harvest, during storage and transportation phases, protecting farmers from post-harvest financial risks and reducing waste.","यह नवाचार योजना कटाई के बाद, भंडारण और परिवहन के दौरान हुए नुकसान को कवर करती है, जिससे किसानों को फसल कटाई के बाद के वित्तीय जोखिम से सुरक्षा मिलती है और अपव्यय कम होता है।",Aadhaar Card|Storage receipts|Transport documents,https://chandigarh.gov.in/postharvestinsurance
114,Chandigarh Seed Quality Assurance Scheme,चंडीगढ़ बीज गुणवत्ता आश्वासन योजना,State (Chandigarh),2015,Subsidy and insurance for certified quality seeds used by farmers,किसानों द्वारा उपयोग किए जाने वाले प्रमाणित गुणवत्ता वाले बीजों के लिए सब्सिडी और बीमा,Farmers purchasing certified seeds for cultivation,खेती के लिए प्रमाणित बीज खरीदने वाले किसान,This scheme promotes the use of certified quality seeds by offering subsidies and insuring the seeds against damage due to storage or adverse conditions before sowing.,"यह योजना प्रमाणित गुणवत्ता वाले बीजों के उपयोग को प्रोत्साहित करती है, प्रीमियम सब्सिडी देती है और बीजों को बोने से पहले भंडारण या प्रतिकूल परिस्थितियों के कारण हुए नुकसान से बचाती है।",Aadhaar Card|Seed purchase receipt|Crop plan,https://chandigarh.gov.in/seedassurance
115,Chandigarh Sustainable Agriculture Insurance,चंडीगढ़ सतत कृषि बीमा,State (Chandigarh),2022,Insurance support for sustainable agriculture practices including water conservation,जल संरक्षण सहित सतत कृषि प्रथाओं के लिए बीमा सहायता,Farmers practicing sustainable agriculture and water-saving techniques,सतत कृषि और जल संरक्षण तकनीकों का अभ्यास करने वाले किसान,The scheme encourages adoption of sustainable agricultural methods by offering insurance coverage and incentives for practices that conserve water and maintain soil health.,यह योजना जल संरक्षण और मृदा स्वास्थ्य बनाए रखने वाली सतत कृषि विधियों को अपनाने के लिए बीमा कवरेज और प्रोत्साहन प्रदान करके प्रोत्साहित करती है।,Aadhaar Card|Certification of sustainable practices|Land records,https://chandigarh.gov.in/sustainableinsurance
116,Chandigarh Farmer Income Protection Scheme,चंडीगढ़ किसान आय सुरक्षा योजना,State (Chandigarh),2019,Minimum income guarantee for farmers affected by crop failure,फसल विफलता से प्रभावित किसानों के लिए न्यूनतम आय गारंटी,All farmers registered under Chandigarh agriculture department,चंडीगढ़ कृषि विभाग के तहत पंजीकृत सभी किसान,"This scheme provides a minimum income guarantee to farmers whose crops fail due to natural calamities, ensuring financial stability and livelihood security.","यह योजना प्राकृतिक आपदाओं के कारण फसल विफल होने वाले किसानों को न्यूनतम आय गारंटी प्रदान करती है, जिससे वित्तीय स्थिरता और आजीविका सुरक्षा सुनिश्चित होती है।",Aadhaar Card|Crop loss certificate|Land ownership documents,https://chandigarh.gov.in/incomeprotection
117,Andhra Pradesh Crop Insurance Scheme,आंध्र प्रदेश फसल बीमा योजना,State (Andhra Pradesh),2016,Comprehensive crop insurance for farmers against weather and pest risks,मौसम और कीट जोखिमों के खिलाफ किसानों के लिए व्यापक फसल बीमा,Farmers cultivating insured crops in Andhra Pradesh,आंध्र प्रदेश में बीमित फसलें उगाने वाले किसान,"This scheme provides financial security to farmers by compensating losses due to drought, floods, pest attacks, and diseases. It helps stabilize farmers' income and promotes sustainable agriculture in the state. The scheme also encourages the adoption of modern farming techniques.","यह योजना सूखा, बाढ़, कीट हमलों और रोगों के कारण होने वाले नुकसान के लिए किसानों को वित्तीय सुरक्षा प्रदान करती है। यह किसानों की आय को स्थिर करता है और राज्य में सतत कृषि को बढ़ावा देता है। यह योजना आधुनिक खेती तकनीकों को अपनाने के लिए प्रोत्साहित करती है।",Aadhaar Card|Crop details|Land records,https://apcropinsurance.ap.gov.in
118,Andhra Pradesh Rythu Bharosa Scheme,आंध्र प्रदेश किसान भरोसा योजना,State (Andhra Pradesh),2018,Financial assistance for small and marginal farmers,लघु और सीमांत किसानों के लिए वित्तीय सहायता,Small and marginal farmers holding less than 5 acres land,5 एकड़ से कम भूमि रखने वाले लघु और सीमांत किसान,The scheme offers direct income support to farmers to help them meet the cultivation expenses. It aims to reduce farmer indebtedness and improve agricultural productivity. Timely financial aid supports farmers during sowing and harvesting seasons.,यह योजना किसानों को सीधे आय सहायता प्रदान करती है ताकि वे खेती के खर्चों को पूरा कर सकें। इसका उद्देश्य किसान कर्ज को कम करना और कृषि उत्पादकता बढ़ाना है। समय पर वित्तीय सहायता किसानों को बोवाई और कटाई के मौसम में मदद करती है।,Aadhaar Card|Land ownership proof|Bank account details,https://rythubharosa.ap.gov.in
119,Andhra Pradesh Zero Interest Crop Loan Scheme,आंध्र प्रदेश शून्य ब्याज फसल ऋण योजना,State (Andhra Pradesh),2017,Interest-free crop loans to farmers,किसानों को बिना ब्याज के फसल ऋण,All farmers registered for crop cultivation in Andhra Pradesh,आंध्र प्रदेश में फसल खेती के लिए पंजीकृत सभी किसान,"Provides farmers with crop loans at zero interest to reduce their financial burden. The scheme supports timely procurement of seeds, fertilizers, and other inputs, ensuring increased crop yield. It also encourages formal credit uptake among farmers.","किसानों को बिना ब्याज के फसल ऋण प्रदान करता है ताकि उनका वित्तीय बोझ कम हो। यह योजना बीज, उर्वरक और अन्य आवश्यक सामग्री के समय पर खरीदारी में मदद करती है, जिससे फसल उत्पादन बढ़ता है। यह किसानों में औपचारिक ऋण लेने को भी प्रोत्साहित करती है।",Aadhaar Card|Loan application form|Land records,https://aploan.ap.gov.in
